run_id,mean_accuracy,std_accuracy,n_seeds,best_train_loss,final_train_acc
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_few_pool10__RS=42,11.748605116328035,26.491676143682646,161,0.0053910905160657685,99.82109227871939
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_few_pool10__RS=123,11.869670491630696,26.469271605432553,161,0.00839622416450689,99.77401129943503
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_few_pool10__RS=7,11.88019791557006,26.450385716453745,161,0.004835707210690724,99.62335216572505
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_mid_pool30__RS=42,34.08779871565428,35.909514488841154,161,0.2051261539671974,93.54990583804143
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_mid_pool30__RS=123,34.16675439519949,36.01871986633937,161,0.19520078444887087,92.43879472693033
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_mid_pool30__RS=7,34.16675439519949,36.01661442352318,161,0.20030031698834466,93.84180790960453
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_many_pool90__RS=42,1.121170649542057,1.1199962019324354,161,4.562813401222229,1.5348399246704332
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_many_pool90__RS=123,1.5475313190862194,3.7217309893069697,161,4.483443596276892,2.8342749529190208
REL=mod97__REP=integer__EXP=data_regime__CFG=unique_many_pool90__RS=7,1.3843562480261078,1.3871853543329948,161,4.527045203978757,1.7514124293785311
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_few_pool5__RS=42,7.742920307400778,22.091823592869083,161,0.00068249113799659,99.91525423728814
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_few_pool5__RS=123,7.75344773134014,22.088938838374016,161,0.0008454000187077919,99.95291902071563
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_few_pool5__RS=7,7.74818401937046,22.0898770520418,161,0.0007885098294421818,99.97175141242938
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_mid_pool10__RS=42,11.743341404358354,26.50065962947816,161,0.0067030458668199,99.66101694915254
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_mid_pool10__RS=123,11.874934203600377,26.451315876226488,161,0.005423736398545562,99.51977401129943
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_mid_pool10__RS=7,11.895989051479104,26.48483740873684,161,0.029532564812329673,99.04896421845574
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_many_pool30__RS=42,32.89819981050637,35.14015003474556,161,0.19375044998645513,93.4934086629002
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_many_pool30__RS=123,33.00873776186967,35.256985603191964,161,0.17482375513189977,94.72693032015066
REL=mod97__REP=integer__EXP=data_regime__CFG=repeats_many_pool30__RS=7,32.840298978839876,35.14359544362478,161,0.18418857407705658,94.40677966101696
